
=== DAILY PASS — 181 market(s) from https://external-api.kalshi.com/trade-api/v2 → data/history/ ===
✓ JPMCEOCHANGE-27: +0 new bar(s), 284 total, 18 book snapshot(s)
✓ KXBTC15M-26SEP181445-45: +0 new bar(s), 1 total, 11 book snapshot(s)
✓ KXBTCY-27JAN0100-B47500: +0 new bar(s), 206 total, 23 book snapshot(s)
✓ KXBTCY-27JAN0100-B52500: +0 new bar(s), 206 total, 23 book snapshot(s)
✓ KXBTCY-27JAN0100-B57500: +0 new bar(s), 206 total, 23 book snapshot(s)
✓ KXBTCY-27JAN0100-B62500: +0 new bar(s), 206 total, 23 book snapshot(s)
✓ KXBTCY-27JAN0100-B67500: +0 new bar(s), 206 total, 23 book snapshot(s)
✓ KXBTCY-27JAN0100-B72500: +0 new bar(s), 206 total, 23 book snapshot(s)
✓ KXBTCY-27JAN0100-B77500: +0 new bar(s), 206 total, 23 book snapshot(s)
✓ KXBTCY-27JAN0100-B82500: +0 new bar(s), 206 total, 23 book snapshot(s)
✓ KXBTCY-27JAN0100-B87500: +0 new bar(s), 206 total, 23 book snapshot(s)
✓ KXBTCY-27JAN0100-T149999.99: +0 new bar(s), 206 total, 23 book snapshot(s)
✓ KXBUNDESLIGAGAME-26SEP18BMUUNI-BMU: +0 new bar(s), 16 total, 11 book snapshot(s)
✓ KXFDAANNOUNCE-BPC-26NOV01: +0 new bar(s), 169 total, 18 book snapshot(s)
✓ KXFDAANNOUNCE-BPC-27JAN01: +0 new bar(s), 168 total, 18 book snapshot(s)
✓ KXFDAAPPROVALDATECMPS-360-27JAN01: +0 new bar(s), 103 total, 18 book snapshot(s)
✓ KXFDAAPPROVALDATECMPS-360-27JUL01: +0 new bar(s), 151 total, 18 book snapshot(s)
✓ KXFDAAPPROVALDATECMPS-360-27MAR01: +0 new bar(s), 106 total, 18 book snapshot(s)
✓ KXFDAAPPROVALDATECMPS-360-27OCT01: +0 new bar(s), 142 total, 18 book snapshot(s)
✓ KXFDAAPPROVALDATECMPS-360-28JAN01: +0 new bar(s), 120 total, 18 book snapshot(s)
✓ KXFDAAPPROVALPSYCHEDELIC-27-ANYPSYCH: +0 new bar(s), 400 total, 18 book snapshot(s)
✓ KXFDAAPPROVE-CYT-26OCT01: +0 new bar(s), 80 total, 18 book snapshot(s)
✓ KXFDAAPPROVE-MDMA-30JAN01: +0 new bar(s), 95 total, 18 book snapshot(s)
✓ KXFDARETATRUTIDE-RET-27JAN01: +0 new bar(s), 122 total, 18 book snapshot(s)
✓ KXFDARETATRUTIDE-RET-27JUL01: +0 new bar(s), 128 total, 18 book snapshot(s)
✓ KXFDARETATRUTIDE-RET-28JAN01: +0 new bar(s), 105 total, 18 book snapshot(s)
✓ KXFDARETATRUTIDE-RET-28JUL01: +0 new bar(s), 90 total, 18 book snapshot(s)
✓ KXFDARETATRUTIDE-RET-29JAN01: +0 new bar(s), 98 total, 18 book snapshot(s)
✓ KXFED-27APR-T3.00: +0 new bar(s), 29 total, 11 book snapshot(s)
✓ KXFED-27APR-T3.25: +0 new bar(s), 30 total, 11 book snapshot(s)
